species-name,common-name,common-name-th,common-name-th2,genus,family,images,num-images,num-observations,,
Abelmoschus esculentus (L.) Moench,okra,กระเจี๊ยบเขียว,กระเจี๊ยบ,abelmoschus,malvaceae,"['https://bs.plantnet.org/image/s/5e3321879b035134f949e16ef52d6c0d78a30534', 'https://bs.plantnet.org/image/s/d023d393b9ce8884454e74f9ea645c5c1aeca6b2', 'https://bs.plantnet.org/image/s/ed9ec40272fc18a76775a62056bfc84222fb8602', 'https://bs.plantnet.org/image/s/b450afb9c87dc634cd3217e483c2107e5534d78b', 'https://bs.plantnet.org/image/s/cf1883462638e6084777e5259675255e7a91c9d2', 'https://api.plantnet.org/v1/gbif/3152707/map.png']",1554,1303,,
Abelmoschus manihot (L.) Medik.,manioc-hibiscus,manioc-ชบา,Manioc-Hibiscus,abelmoschus,malvaceae,"['https://bs.plantnet.org/image/s/04cf90591831aee2bc595466e71dd70eef234501', 'https://bs.plantnet.org/image/s/b35094a3c968b5eed3cbedb8028c34c38fa9f45a', 'https://bs.plantnet.org/image/s/90493032a3d4f8f14443254d1c0f363a3ff2897a', 'https://bs.plantnet.org/image/s/8a2cc899c69842ac131ea3e47429c0e21bc0bd6a', 'https://bs.plantnet.org/image/s/1c450c8c35e15ea9371e669a58ce50b1bbc91f13', 'https://api.plantnet.org/v1/gbif/3152706/map.png']",DD,126,,
Abelmoschus moschatus Medik.,muskseed,เมล็ดชะมด,มัสค์ซ,abelmoschus,malvaceae,"['https://bs.plantnet.org/image/s/f13aac6f92c60a523ec44816b10911f8b036ffd9', 'https://bs.plantnet.org/image/s/74b65e64d1b4f4441b00c8c94fff322b67c2bea1', 'https://bs.plantnet.org/image/s/eed8381f208437ee99333134d9f55876616ff14d', 'https://bs.plantnet.org/image/s/ba192c745229cb5f1071dacd8d0eb80964e0f622', 'https://bs.plantnet.org/image/s/05f5b50f1a14bf5a6bb6558a23f8afee641d8625', 'https://api.plantnet.org/v1/gbif/8312665/map.png']",LC,216,,
Abrus precatorius L.,rosarypea,ลูกประคำ,ถั่วลูกประคำ,abrus,fabaceae,"['https://bs.plantnet.org/image/s/555c1475c2b0a31c05bca16d5c015f45a89ed465', 'https://bs.plantnet.org/image/s/9885c947cbeadaab8fc3da4610ed42242b8531e4', 'https://bs.plantnet.org/image/s/e6b8fd95a9b39216edec6ff5725abbba17f069f3', 'https://bs.plantnet.org/image/s/24ee4e5bedfd1699ee407afa2b4a60ec0925dd5f', 'https://bs.plantnet.org/image/s/1c32b857c620a77ea2a41f501ae30b60cc619d63', 'https://api.plantnet.org/v1/gbif/5348711/map.png']",474,360,,
Abutilon hirtum (Lam.) Sweet,florida keys indian mallow,ฟลอริดาคีย์อินเดียนแมลโลว์,Florida Keys Indian Mallow,abutilon,malvaceae,"['https://bs.plantnet.org/image/s/c1e706c8925065c19eeac067e6e7cc5e675dfbcd', 'https://bs.plantnet.org/image/s/e055fef32f1fc27aba25f74400f3a5dfba75e881', 'https://bs.plantnet.org/image/s/5e6368bed8995a5ab748cb1f24d3c1b593eefdf8', 'https://bs.plantnet.org/image/s/6b1dfd1b50974f3a73afd119d93656d7091a47b8', 'https://bs.plantnet.org/image/s/fadaec3b90423dac5cd28efb75227c41865ec494', 'https://api.plantnet.org/v1/gbif/3152619/map.png']",108,63,,
Abutilon indicum (L.) Sweet,indian abutilon,อบูติลอนอินเดีย,ที่พัก,abutilon,malvaceae,"['https://bs.plantnet.org/image/s/0209cc22f77562892e883de6450dbe208bad20b0', 'https://bs.plantnet.org/image/s/48d1d30bc955e94447da3bc55f806acf7d886d5b', 'https://bs.plantnet.org/image/s/f4bd937e74fd0fc6d505fed8a8f3790bb7f9f265', 'https://bs.plantnet.org/image/s/26d027cd696353f546668a839729fcd108b1aac3', 'https://bs.plantnet.org/image/s/98e8e76ec73ab9e4dbb5c48392dd7ef10d1f2f5a', 'https://api.plantnet.org/v1/gbif/3152634/map.png']",285,188,,
Abutilon theophrasti Medik.,velvetleaf,กำมะหยี่ลีฟ,กำมะหยี่,abutilon,malvaceae,"['https://bs.plantnet.org/image/s/cef981f51656ee660516a56a5969f4eb50c9dbc9', 'https://bs.plantnet.org/image/s/84a53a61f21b0d10f611e31e4bf20821d95144cb', 'https://bs.plantnet.org/image/s/6d9046d673fea653252fd01852d4fb93d47fbe61', 'https://bs.plantnet.org/image/s/e1d4ec2bdf10d9570e274924c267e23146d0e182', 'https://bs.plantnet.org/image/s/378390df0de16f356c2b2abc4db29b64573a51f6', 'https://api.plantnet.org/v1/gbif/3152614/map.png']",3417,2706,,
Acacia auriculiformis Cunn. ex Benth.,darwin black wattle,ดาร์วิน เหนียงดำ,ดาร์วินแบล็กสั่น,acacia,fabaceae,"['https://bs.plantnet.org/image/s/1c3c6a3a67083db93f726ecbb9c9e7cfda77103e', 'https://bs.plantnet.org/image/s/3d6313fe6e44967cb460ff863ebddad4a3a1ed86', 'https://bs.plantnet.org/image/s/dad582e299f66c3bfba193792d38e06f674e5d22', 'https://bs.plantnet.org/image/s/3bf2b4be330e54b75fb4aaf2e7dd7c48745dba04', 'https://bs.plantnet.org/image/s/2c202b162908521056e85b594f7eba6db58a457e', 'https://api.plantnet.org/v1/gbif/2981001/map.png']",LC,26,,
Acacia catechu (L.f.) Willd.,black cutch,คัตช์สีดำ,สีดำคัตช์,acacia,fabaceae,"['https://bs.plantnet.org/image/s/99103925097791756b0ed53e3ce8a99b6319c09a', 'https://api.plantnet.org/v1/gbif/2980865/map.png']",1,1,,
Acacia confusa Merr.,formosan koa,จากฟอร์โมซา,Formosa ยืน,acacia,fabaceae,"['https://bs.plantnet.org/image/s/8d9c535135313f12016eeddd4be50c8e63697acd', 'https://bs.plantnet.org/image/s/a4a2933556805f34c6a26641c101162c07666f33', 'https://bs.plantnet.org/image/s/00a59a21dc849693ad496dfbcda5504b6ef874ce', 'https://bs.plantnet.org/image/s/c9cbdd05e931da0b8bba638296352c978a27e0b4', 'https://bs.plantnet.org/image/s/f0e48cd2ccd769581404a8b99afed71c8caea3c0', 'https://api.plantnet.org/v1/gbif/2978466/map.png']",LC,38,,
